Comment,Designator,Footprint,LCSC,Qty,Type
Barrel_Jack,J3,BarrelJack_Horizontal,,1,Component
100uF,C12,CP_Radial_D6.3mm_P2.50mm,,1,Component
470uF,C13,CP_Radial_D8.0mm_P3.50mm,,1,Component
100nF,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C14,C15",C_Disc_D5.0mm_W2.5mm_P5.00mm,,13,Component
74AHCT125N,U1,DIP-14_W7.62mm,,1,Component
H11L1,U2,DIP-6_W7.62mm,,1,Component
1N4148,D3,D_DO-35_SOD27_P7.62mm_Horizontal,,1,Component
1N5817,D1,D_DO-41_SOD81_P10.16mm_Horizontal,,1,Component
P6KE13A,D2,D_DO-41_SOD81_P10.16mm_Horizontal,,1,Component
FSW_CLEAR,J18,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1,Component
FSW_RECPLAY,J10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1,Component
FSW_BANK,J19,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1,Component
FSW_TRACK4,J17,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1,Component
FSW_MODE,J13,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1,Component
FSW_TRACK1,J14,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1,Component
FSW_TRACK2,J15,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1,Component
FSW_STOP,J11,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1,Component
FSW_TRACK3,J16,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1,Component
FSW_UNDO,J12,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1,Component
RESET,J20,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1,Component
Conn_01x03,J7,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,1,Component
Conn_01x08,J6,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,,1,Component
MIDI_DIN5_RA,"J4,J5",MIDI_DIN5_RA,C23689428,2,Component
MountingHole_3.2mm_M3_Pad,"H1,H2,H3,H4",MountingHole_3.2mm_M3_Pad,,4,Mechanical
BUCK_5V,J8,PinHeader_1x04_P2.54mm_Vertical,,1,Component
ICSP,J21,PinHeader_2x03_P2.54mm_Vertical,,1,Component
ProMicro,J1,ProMicro,,1,Component
330,"R1,R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,2,Component
10k,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1,Component
220,"R3,R4,R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,3,Component
