Designator,Mid X,Mid Y,Rotation,Layer
C1,16.5mm,17.0mm,0.0,top
C10,66.5mm,35.0mm,0.0,top
C11,76.075mm,7.525mm,0.0,top
C12,35.31mm,68.425mm,0.0,top
C13,8.72mm,73.775mm,0.0,top
C14,17.575mm,71.025mm,0.0,top
C15,76.075mm,12.025mm,0.0,top
C2,29.0mm,17.0mm,0.0,top
C3,41.5mm,17.0mm,0.0,top
C4,54.0mm,17.0mm,0.0,top
C5,66.5mm,17.0mm,0.0,top
C6,16.5mm,35.0mm,0.0,top
C7,29.0mm,35.0mm,0.0,top
C8,41.5mm,35.0mm,0.0,top
C9,54.0mm,35.0mm,0.0,top
D1,7.375mm,66.625mm,0.0,top
D2,20.875mm,66.625mm,0.0,top
D3,66.575mm,56.275mm,0.0,top
H1,9.5mm,9.5mm,0.0,top
H2,94.5mm,9.5mm,0.0,top
H3,9.5mm,96.5mm,0.0,top
H4,94.5mm,96.5mm,0.0,top
J1,23.25mm,52.0mm,0.0,top
J10,17.75mm,10.475mm,0.0,top
J11,30.25mm,10.475mm,0.0,top
J12,42.75mm,10.475mm,0.0,top
J13,55.25mm,10.475mm,0.0,top
J14,67.75mm,10.475mm,0.0,top
J15,17.75mm,28.475mm,0.0,top
J16,30.25mm,28.475mm,0.0,top
J17,42.75mm,28.475mm,0.0,top
J18,55.25mm,28.475mm,0.0,top
J19,67.75mm,28.475mm,0.0,top
J20,8.975mm,17.875mm,0.0,top
J21,85.795mm,7.795mm,0.0,top
J3,25.0mm,87.95mm,90.0,top
J4,47.0mm,93.3mm,90.0,top
J5,75.0mm,93.3mm,90.0,top
J6,91.475mm,36.75mm,90.0,top
J7,91.475mm,48.5mm,90.0,top
J8,42.295mm,66.795mm,0.0,top
R1,74.575mm,18.025mm,0.0,top
R2,16.075mm,21.025mm,0.0,top
R3,77.075mm,56.525mm,0.0,top
R4,66.575mm,61.025mm,0.0,top
R5,80.075mm,61.025mm,0.0,top
R6,56.075mm,65.525mm,0.0,top
U1,61.38mm,48.805mm,90.0,top
U2,56.085mm,56.545mm,0.0,top
