ref,value,footprint,mpn,group,quantity
J1,AUX 5V INPUT,Connector_JST:JST_VH_B2P-VH_1x02_P3.96mm_Vertical,B2P-VH(LF)(SN),Control,1
J2,GPIO17 / GND,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,B2B-XH-A(LF)(SN),Control,1
R1,1k 1%,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,MFR-25FBF52-1K,Control,1
R2,100k 1%,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,MFR-25FBF52-100K,Control,1
Q1,2N3904,Package_TO_SOT_THT:TO-92_Inline_Wide,2N3904BU,Control,1
R3,4.7k 1%,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,MFR-25FBF52-4K7,Control,1
R4,330k 1%,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,MFR-25FBF52-330K,Control,1
Q3,SUP70101EL,screen_power:TO-220-3_SUP70101EL,SUP70101EL-GE3,Control,1
Q4,SUP70101EL,screen_power:TO-220-3_SUP70101EL,SUP70101EL-GE3,Control,1
D1,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,1N4148-TAP,Control,1
R5,5.6k 1%,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,MFR-25FBF52-5K6,Control,1
R6,100k 1%,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,MFR-25FBF52-100K,Control,1
R7,100k 1%,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,MFR-25FBF52-100K,Control,1
Q2,2N3906,Package_TO_SOT_THT:TO-92_Inline_Wide,2N3906BU,Control,1
R8,100R 1W 1%,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,PR01000101000FA100,Control,1
C1,100nF 63V,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm,MKS2C031001A00KSSD,Control,1
C2,220uF 10V,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,EEU-FR1A221,Control,1
J101,PI USB / XH4,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,B4B-XH-A(LF)(SN),Screen 1,1
J102,TOUCH / XH4,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,B4B-XH-A(LF)(SN),Screen 1,1
J103,SCREEN 1 POWER,Connector_JST:JST_VH_B2P-VH_1x02_P3.96mm_Vertical,B2P-VH(LF)(SN),Screen 1,1
F101,4A fast,screen_power:Fuse_Littelfuse_251_P12.70mm,0251004.MXL,Screen 1,1
F102,750mA fast,screen_power:Fuse_Littelfuse_251_P12.70mm,0251.750MXL,Screen 1,1
K101,IM02TS,screen_power:Relay_DPDT_AXICOM_IMSeries_Pitch5.08mm_D0.90mm,1-1462037-3,Screen 1,1
Q101,2N7000,Package_TO_SOT_THT:TO-92_Inline_Wide,2N7000,Screen 1,1
D101,1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,1N4007-E3/54,Screen 1,1
C101,100nF 63V,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm,MKS2C031001A00KSSD,Screen 1,1
C102,150uF 10V,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,EEU-FR1A151,Screen 1,1
J201,PI USB / XH4,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,B4B-XH-A(LF)(SN),Screen 2,1
J202,TOUCH / XH4,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,B4B-XH-A(LF)(SN),Screen 2,1
J203,SCREEN 2 POWER,Connector_JST:JST_VH_B2P-VH_1x02_P3.96mm_Vertical,B2P-VH(LF)(SN),Screen 2,1
F201,4A fast,screen_power:Fuse_Littelfuse_251_P12.70mm,0251004.MXL,Screen 2,1
F202,750mA fast,screen_power:Fuse_Littelfuse_251_P12.70mm,0251.750MXL,Screen 2,1
K201,IM02TS,screen_power:Relay_DPDT_AXICOM_IMSeries_Pitch5.08mm_D0.90mm,1-1462037-3,Screen 2,1
Q201,2N7000,Package_TO_SOT_THT:TO-92_Inline_Wide,2N7000,Screen 2,1
D201,1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,1N4007-E3/54,Screen 2,1
C201,100nF 63V,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm,MKS2C031001A00KSSD,Screen 2,1
C202,150uF 10V,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,EEU-FR1A151,Screen 2,1
H1,M3,MountingHole:MountingHole_3.5mm,NPTH,Mechanical,1
H2,M3,MountingHole:MountingHole_3.5mm,NPTH,Mechanical,1
H3,M3,MountingHole:MountingHole_3.5mm,NPTH,Mechanical,1
H4,M3,MountingHole:MountingHole_3.5mm,NPTH,Mechanical,1
